,name,price1,price2
80,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
81,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
82,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
83,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
84,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
85,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
86,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
87,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
88,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
89,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
90,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
91,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
92,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
93,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
94,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
95,Samsung Galaxy A04,"1,169.00 Dhs","1,143.00 Dhs"
96,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
97,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
98,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
99,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
100,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
101,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
102,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
103,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
104,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
105,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
106,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
107,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
108,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
109,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
110,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
111,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
112,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
113,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
114,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
115,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
116,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
117,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
118,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
119,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
120,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
121,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
122,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
123,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
124,Samsung Galaxy A04,"1,143.00 Dhs","1,169.00 Dhs"
